セクション名,単語数,一致した単語数,一致しなかった単語数,一致率
BE_FREE_A,20,17,3,0.85
BE_FREE_S,28,22,6,0.7857142857142857
オレンジ_A1,11,10,1,0.9090909090909091
オレンジ_A2,22,16,6,0.7272727272727273
オレンジ_S1,11,5,6,0.45454545454545453
オレンジ_S2,15,11,4,0.7333333333333333
オレンジ_S3,22,16,6,0.7272727272727273
オレンジ_S4,11,10,1,0.9090909090909091
キセキ_A1,12,8,4,0.6666666666666666
キセキ_A2,13,8,5,0.6153846153846154
キセキ_S1,13,9,4,0.6923076923076923
キセキ_S2,12,10,2,0.8333333333333334
キセキ_S3,17,11,6,0.6470588235294118
刹那_A,24,18,6,0.75
刹那_S,25,19,6,0.76
愛唄_A1,18,11,7,0.6111111111111112
愛唄_A2,21,16,5,0.7619047619047619
愛唄_S1,15,7,8,0.4666666666666667
愛唄_S2,14,7,7,0.5
扉_A,45,32,13,0.7111111111111111
扉_S,29,25,4,0.8620689655172413
旅立ち_A,30,25,5,0.8333333333333334
旅立ち_S,28,20,8,0.7142857142857143
星影のエール_A,30,19,11,0.6333333333333333
星影のエール_S,29,19,10,0.6551724137931034
涙空_A,55,34,21,0.6181818181818182
涙空_S,13,9,4,0.6923076923076923
花唄_A1,22,15,7,0.6818181818181818
花唄_A2,20,15,5,0.75
花唄_S1,15,12,3,0.8
花唄_S2,14,12,2,0.8571428571428571
遥か_A1,6,4,2,0.6666666666666666
遥か_A2,11,5,6,0.45454545454545453
遥か_A3,12,11,1,0.9166666666666666
遥か_A4,10,7,3,0.7
遥か_S1,18,16,2,0.8888888888888888
遥か_S2,12,8,4,0.6666666666666666
SUN_SHINE!!!_A,45,27,18,0.6
SUN_SHINE!!!_S,21,11,10,0.5238095238095238
beautiful_days_A1,11,8,3,0.7272727272727273
beautiful_days_A2,16,14,2,0.875
beautiful_days_S1,19,16,3,0.8421052631578947
beautiful_days_S2,16,12,4,0.75
no_more_war_A,59,36,23,0.6101694915254238
no_more_war_S,17,10,7,0.5882352941176471
たけてん_A1,15,11,4,0.7333333333333333
たけてん_A2,13,11,2,0.8461538461538461
たけてん_S1,18,13,5,0.7222222222222222
たけてん_S2,20,16,4,0.8
サヨナラから始めよう_A,56,36,20,0.6428571428571429
サヨナラから始めよう_S,17,13,4,0.7647058823529411
ビリーヴ_A1,20,15,5,0.75
ビリーヴ_A2,23,21,2,0.9130434782608695
ビリーヴ_S1,23,15,8,0.6521739130434783
ビリーヴ_S2,23,17,6,0.7391304347826086
ルーキーズ_A,57,38,19,0.6666666666666666
ルーキーズ_S,43,26,17,0.6046511627906976
人_A1,28,18,10,0.6428571428571429
人_A2,34,26,8,0.7647058823529411
人_S1,19,14,5,0.7368421052631579
人_S2,19,15,4,0.7894736842105263
君想い_A,58,44,14,0.7586206896551724
君想い_S,27,15,12,0.5555555555555556
