song,subtree_combination_count_A,matched_subtree_count_A,subtree_combination_count_S,matched_subtree_count_S
あの夏に咲け,589590,19,104857,21
ただ君に晴れ,499,20,5681,31
カトレア,36342,7,8773,11
ブレーメン,2572620,28,364319,26
冬眠,22481,11,12009,21
又三郎,4492,25,56642,8
左右盲,12072,16,6915212,22
月に吠える,377991,15,4709013,26
準透明少年,137500,23,30236,14
爆弾魔,3098,14,33974,67
第一夜,14397682,40,133,18
老人と海,7477,8,1158239,6
言って。,47141,30,783962,29
負け犬にアンコールはいらない,16528,23,9735415,41
都落ち,486099,18,3315,16
雲と幽霊,9529,10,87505,24
靴の花火,298,10,1129434,25
４５１,33741,10,1133,4
